
Begin Step 0, Time: -10, Systemstep: 0

Begin Step 1, Time: -9.99995, Systemstep: 4.88281e-05

Begin Step 2, Time: -9.9999, Systemstep: 4.88281e-05

Begin Step 3, Time: -9.99985, Systemstep: 4.88281e-05

Begin Step 4, Time: -9.9998, Systemstep: 4.88281e-05

Begin Step 5, Time: -9.99976, Systemstep: 4.88281e-05

Begin Step 6, Time: -9.99971, Systemstep: 4.88281e-05

Begin Step 7, Time: -9.99966, Systemstep: 4.88281e-05

Begin Step 8, Time: -9.99961, Systemstep: 4.88281e-05

Begin Step 9, Time: -9.99956, Systemstep: 4.88281e-05

Begin Step 10, Time: -9.99951, Systemstep: 4.88281e-05

Begin Step 11, Time: -9.99946, Systemstep: 4.88281e-05

Begin Step 12, Time: -9.99941, Systemstep: 4.88281e-05

Begin Step 13, Time: -9.99937, Systemstep: 4.88281e-05

Begin Step 14, Time: -9.99932, Systemstep: 4.88281e-05

Begin Step 15, Time: -9.99927, Systemstep: 4.88281e-05

Begin Step 16, Time: -9.99922, Systemstep: 4.88281e-05

Begin Step 17, Time: -9.99917, Systemstep: 4.88281e-05

Begin Step 18, Time: -9.99912, Systemstep: 4.88281e-05

Begin Step 19, Time: -9.99907, Systemstep: 4.88281e-05

Begin Step 20, Time: -9.99902, Systemstep: 4.88281e-05

Begin Step 21, Time: -9.99897, Systemstep: 4.88281e-05

Begin Step 22, Time: -9.99893, Systemstep: 4.88281e-05

Begin Step 23, Time: -9.99888, Systemstep: 4.88281e-05

Begin Step 24, Time: -9.99883, Systemstep: 4.88281e-05

Begin Step 25, Time: -9.99878, Systemstep: 4.88281e-05

Begin Step 26, Time: -9.99873, Systemstep: 4.88281e-05

Begin Step 27, Time: -9.99868, Systemstep: 4.88281e-05

Begin Step 28, Time: -9.99863, Systemstep: 4.88281e-05

Begin Step 29, Time: -9.99858, Systemstep: 4.88281e-05

Begin Step 30, Time: -9.99854, Systemstep: 4.88281e-05

Begin Step 31, Time: -9.99849, Systemstep: 4.88281e-05

Begin Step 32, Time: -9.99844, Systemstep: 4.88281e-05

Begin Step 33, Time: -9.99839, Systemstep: 4.88281e-05

Begin Step 34, Time: -9.99834, Systemstep: 4.88281e-05

Begin Step 35, Time: -9.99829, Systemstep: 4.88281e-05

Begin Step 36, Time: -9.99824, Systemstep: 4.88281e-05

Begin Step 37, Time: -9.99819, Systemstep: 4.88281e-05

Begin Step 38, Time: -9.99814, Systemstep: 4.88281e-05

Begin Step 39, Time: -9.9981, Systemstep: 4.88281e-05

Begin Step 40, Time: -9.99805, Systemstep: 4.88281e-05

Begin Step 41, Time: -9.998, Systemstep: 4.88281e-05

Begin Step 42, Time: -9.99795, Systemstep: 4.88281e-05

Begin Step 43, Time: -9.9979, Systemstep: 4.88281e-05

Begin Step 44, Time: -9.99785, Systemstep: 4.88281e-05

